S.No.,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price
0,"Maruti Wagon R LXI CNG",Mumbai,2010,72000,CNG,Manual,First,26.6,998,58.16,5,0,1.75
1,"Hyundai Creta 1.6 CRDi SX Option",Pune,2015,41000,Diesel,Manual,First,19.67,1582,126.2,5,0,12.5
2,"Honda Jazz V",Chennai,2011,46000,Petrol,Manual,First,18.2,1199,88.7,5,8.61,4.5
3,"Maruti Ertiga VDI",Chennai,2012,87000,Diesel,Manual,First,20.77,1248,88.76,7,0,6
4,"Audi A4 New 2.0 TDI Multitronic",Coimbatore,2013,40670,Diesel,Automatic,Second,15.2,1968,140.8,5,0,17.74
5,"Hyundai EON LPG Era Plus Option",Hyderabad,2012,75000,LPG,Manual,First,21.1,814,55.2,5,0,2.35
6,"Nissan Micra Diesel XV",Jaipur,2013,86999,Diesel,Manual,First,23.08,1461,63.1,5,0,3.5
7,"Toyota Innova Crysta 2.8 GX AT 8S",Mumbai,2016,36000,Diesel,Automatic,First,11.36,2755,171.5,8,21,17.5
8,"Volkswagen Vento Diesel Comfortline",Pune,2013,64430,Diesel,Manual,First,20.54,1598,103.6,5,0,5.2
9,"Tata Indica Vista Quadrajet LS",Chennai,2012,65932,Diesel,Manual,Second,22.3,1248,74,5,0,1.95
10,"Maruti Ciaz Zeta",Kochi,2018,25692,Petrol,Manual,First,21.56,1462,103.25,5,10.65,9.95
11,"Honda City 1.5 V AT Sunroof",Kolkata,2012,60000,Petrol,Automatic,First,16.8,1497,116.3,5,0,4.49
12,"Maruti Swift VDI BSIV",Jaipur,2015,64424,Diesel,Manual,First,25.2,1248,74,5,0,5.6
13,"Land Rover Range Rover 2.2L Pure",Delhi,2014,72000,Diesel,Automatic,First,12.7,2179,187.7,5,0,27
14,"Land Rover Freelander 2 TD4 SE",Pune,2012,85000,Diesel,Automatic,Second,0,2179,115,5,0,17.5
15,"Mitsubishi Pajero Sport 4X4",Delhi,2014,110000,Diesel,Manual,First,13.5,2477,175.56,7,32.01,15
16,"Honda Amaze S i-Dtech",Kochi,2016,58950,Diesel,Manual,First,25.8,1498,98.6,5,0,5.4
17,"Maruti Swift DDiS VDI",Jaipur,2017,25000,Diesel,Manual,First,28.4,1248,74,5,0,5.99
18,"Renault Duster 85PS Diesel RxL Plus",Kochi,2014,77469,Diesel,Manual,First,20.45,1461,83.8,5,0,6.34
19,"Mercedes-Benz New C-Class C 220 CDI BE Avantgare",Bangalore,2014,78500,Diesel,Automatic,First,14.84,2143,167.62,5,0,28
20,"BMW 3 Series 320d",Kochi,2014,32982,Diesel,Automatic,First,22.69,1995,190,5,47.87,18.55
21,"Maruti S Cross DDiS 200 Alpha",Bangalore,2015,55392,Diesel,Manual,Second,23.65,1248,88.5,5,0,8.25
22,"Audi A6 2011-2015 35 TFSI Technology",Mumbai,2015,55985,Petrol,Automatic,First,13.53,1984,177.01,5,0,23.5
23,"Hyundai i20 1.2 Magna",Kolkata,2010,45807,Petrol,Manual,First,18.5,1197,80,5,0,1.87
24,"Volkswagen Vento Petrol Highline AT",Kolkata,2010,33000,Petrol,Automatic,First,14.4,1598,103.6,5,0,2.85
25,"Honda City Corporate Edition",Mumbai,2012,51920,Petrol,Manual,First,16.8,1497,116.3,5,0,4.25
26,"Nissan Micra Diesel XV",Hyderabad,2012,54000,Diesel,Manual,First,23.08,1461,63.1,5,0,4.25
27,"Maruti Alto K10 2010-2014 VXI",Hyderabad,2013,54000,Petrol,Manual,Second,20.92,998,67.1,5,0,2.75
28,"Honda WRV i-VTEC VX",Kochi,2018,37430,Petrol,Manual,First,17.5,1199,88.7,5,10.57,9.9
29,"Toyota Innova 2.5 V Diesel 7-seater",Mumbai,2007,262000,Diesel,Manual,"Fourth & Above",12.8,2494,102,7,0,4
30,"Renault Duster 110PS Diesel RxZ Pack",Bangalore,2013,62000,Diesel,Manual,First,19.01,1461,108.45,5,0,7.75
31,"Toyota Corolla Altis G",Delhi,2012,87615,Petrol,Manual,First,14.53,1798,138.1,5,0,6.75
32,"Mahindra Ssangyong Rexton RX7",Bangalore,2013,72000,Diesel,Automatic,Second,11.18,2696,184,7,0,12.5
33,"Audi A6 2.7 TDI",Kolkata,2010,35000,Diesel,Automatic,First,12.4,2698,179.5,5,0,11.5
34,"Volkswagen Vento 1.6 Highline",Coimbatore,2014,55431,Petrol,Manual,Second,16.09,1598,103.5,5,12.33,6.98
35,"Maruti Wagon R LXI BSIII",Jaipur,2009,83816,Petrol,Manual,Second,14,1061,64,5,0,1.85
36,"Maruti Vitara Brezza ZDi Plus",Kochi,2018,50075,Diesel,Manual,First,24.3,1248,88.5,5,11.12,8.63
37,"Mahindra KUV 100 mFALCON G80 K6 5str AW",Delhi,2017,52000,Petrol,Manual,First,18.15,1198,82,5,0,4.85
38,"Mercedes-Benz M-Class ML 350 CDI",Pune,2013,85000,Diesel,Automatic,First,11.74,2987,254.8,5,0,28
39,"Volkswagen Polo Diesel Trendline 1.2L",Chennai,2013,62000,Diesel,Manual,First,22.07,1199,73.9,5,0,5
40,"Maruti Alto LXi",Delhi,2008,90000,Petrol,Manual,Second,19.7,796,46.3,5,0,1.25
41,"Tata Nano LX SE",Kochi,2014,19698,Petrol,Manual,First,25.4,624,37.5,4,0,1.53
42,"Mahindra KUV 100 mFALCON D75 K8 Dual Tone",Coimbatore,2017,22033,Diesel,Manual,First,25.32,1198,77,6,0,5.58
43,"Hyundai i20 Magna Optional 1.2",Kochi,2014,35487,Petrol,Manual,First,18.5,1197,82.9,5,0,4.74
44,"Hyundai Elantra 2.0 SX Option AT",Bangalore,2014,46374,Petrol,Automatic,First,14.62,1999,149.92,5,23.64,8.85
45,"Toyota Corolla Altis G AT",Mumbai,2016,52001,Petrol,Automatic,First,14.28,1798,138.03,5,0,10.11
46,"Hyundai Elantra CRDi",Ahmedabad,2008,58005,Diesel,Manual,Second,14.9,1991,112.2,5,0,4.25
47,"Toyota Innova Crysta 2.7 GX MT",Bangalore,2012,70704,Petrol,Manual,First,11.25,2694,163.7,7,18.64,10.95
48,"Hyundai Xcent 1.1 CRDi S",Jaipur,2014,75000,Diesel,Manual,First,24.4,1120,71,5,0,3.85
